Station,Coordinates,Link
0228 Keefer & Hawks,"(49.2792153, -123.0874912)",https://maps.app.goo.gl/BTLRDNDbUaFACEYp8
0229 Keefer & Princess,"(49.2793622, -123.0909562)",https://maps.app.goo.gl/8MLCc2tvmS4k2pkEA
0230 Alexander & Railway,"(49.2839923, -123.0911062)",https://maps.app.goo.gl/aGzL5ibeVuqAr23cA
0231 Napier & Commercial,"(49.274881, -123.0692936)",https://maps.app.goo.gl/qRwDBYqpDdJnG2k5A
0232 Britannia Parking Lot,"(49.2758553, -123.0719018)",https://maps.app.goo.gl/y4MwM1cLtxjiNAk36
0233 Thornton & National,"(49.2737663, -123.0927082)",https://maps.app.goo.gl/vGzz4LkMFaTYwNCi7
0235 Charles & Commercial,"(49.2731002, -123.0699248)",https://maps.app.goo.gl/B61MskQuzEgwzcwk8
0236 Keith & 6th,"(49.2649223, -123.0794519)",https://maps.app.goo.gl/zZuAy4Xh6fw6Pq1Z6
0237 Glen & 6th,"(49.2649024, -123.0812237)",https://maps.app.goo.gl/bhd29vVQ4K4SjP759
0239 Grant & Commercial,"(49.2713808, -123.0693525)",https://maps.app.goo.gl/Sq2jFjD54bqiysky7
0240 2nd & Commercial,"(49.2686186, -123.0700509)",https://maps.app.goo.gl/5PqaZtzCYdeDyjXq7
0241 4th & Commercial,"(49.2669734, -123.0700235)",https://maps.app.goo.gl/bUtZzkE7d81qbkDm8
0242 8th & Commercial,"(49.2632295, -123.0704772)",https://maps.app.goo.gl/Lr3bbVLAFokB3vhL8
0244 10th & Commercial,"(49.261412, -123.0701593)",https://maps.app.goo.gl/qaRhF5A43ErGkFfG8
0245 Woodland & 10th,"(49.2612322, -123.0737544)",https://maps.app.goo.gl/dvw7yaH4yn3pD2vc9
0246 Glen & Broadway,"(49.2621862, -123.0814508)",https://maps.app.goo.gl/dfym3mC7Dz74vNrk6
0248 St George & Broadway,"(49.2623071, -123.0930671)",https://maps.app.goo.gl/R6pe96drLyRS3brP7
0249 7th & Woodland,"(49.2642309, -123.0738623)",https://maps.app.goo.gl/hxjjaKAhm1whfPgN8
0250 Woodland & 4th,"(49.2666761, -123.0734696)",https://maps.app.goo.gl/CvmX4tf61eka3r7y7
0252 Woodland & Graveley,"(49.2707346, -123.0736192)",https://maps.app.goo.gl/ECEf65UE63Ti94cS6
0253 Charles & Woodland,"(49.2731187, -123.0731844)",https://maps.app.goo.gl/sEeGURi5Y1EwqX696
0254 Grandview & Commercial,"(49.2641012, -123.0707016)",https://maps.app.goo.gl/kbeCkfLB3Mj7QdbL7
0255 18th & Main,"(49.255730024708285, -123.1013024811912)",https://maps.app.goo.gl/VdkFGSCTo3Qk8hqVA
0256 Prince Edward & 16th,"(49.2567266, -123.0965455)",https://maps.app.goo.gl/AstwsqXzw4omQXP56
0257 Prince Edward & 14th,"(49.2581393, -123.096343)",https://maps.app.goo.gl/ej2oJEGpxAPMQJe49
0258 13th & St George,"(49.259405173012865, -123.09294720425774)",https://maps.app.goo.gl/voKsnWSXVGgVLfB46
0260 10th & Fraser,"(49.2615005, -123.0893354)",https://maps.app.goo.gl/6M9LAHRjU9uH2DaRA
0261 8th & Fraser,"(49.2634568, -123.0888362)",https://maps.app.goo.gl/6vd48tg3XH2vzsv27
0262 8th & Prince Edward,"(49.2635225, -123.0956253)",https://maps.app.goo.gl/pKDUqj7KBgUdWLzh6
0265 St Catherines & 10th,"(49.262577789637305, -123.08545571982644)",https://maps.app.goo.gl/GxMcY95Z45VUmLs2A
0266 St Catherines & 7th,"(49.26537833729386, -123.08554155051243)",https://maps.app.goo.gl/bDL8gWEsxCQg5gYC8
0272 Pender & Victoria,"(49.2801793, -123.0660122)",https://maps.app.goo.gl/mULuR9dek49ue3SFA
0273 Victoria & 4th,"(49.2666307, -123.0658618)",https://maps.app.goo.gl/xv1b2sPajXi5ZGnNA
0274 Victoria & 10th,"(49.2611652, -123.0660014)",https://maps.app.goo.gl/Je5m9qywvdbwxjQt9
0278 15th & Victoria (Trout Lake),"(49.25703903280026, -123.06569964660144)",https://maps.app.goo.gl/99oaA9icqE3K1qK26
0280 Triumph & Victoria,"(49.2839768, -123.0652119)",https://maps.app.goo.gl/YsBFJwFSf2SKNJhZ8
0281 Windsor & 14th,"(49.2580237, -123.0833488)",https://maps.app.goo.gl/7dvpWBZazXc72X87A
0282 14th & Fraser,"(49.2579521, -123.0895274)",https://maps.app.goo.gl/sJJnwFggUcUJgbRz9
0283 15th & Knight,"(49.256636019684855, -123.0754796466014)",https://maps.app.goo.gl/64qMH1FaXD5fQqoX6
0285 Commercial & Pandora,"(49.2832115, -123.0703905)",https://maps.app.goo.gl/wxPisAHcH6iTFbjH9
0287 Carolina & Great Northern Way,"(49.2674701, -123.0907444)",https://maps.app.goo.gl/a8GrkhRPRKwqwdA58
0297 6th & Prince Edward,"(49.2652349, -123.0954559)",https://maps.app.goo.gl/wktwzmnxG11MnvwM7
0298 6th & Carolina,"(49.2652155, -123.0906761)",https://maps.app.goo.gl/KFsV7zKaCU2C5eof8
0300 Bute & Barclay,"(49.285295717305466, -123.12880880750507)",https://maps.app.goo.gl/eQ46XrChe28sYVc96
