Station,Coordinates
0253 Charles & Woodland,"(49.2731187, -123.0731844)"
0254 Grandview & Commercial,"(49.2641012, -123.0707016)"
0255 18th & Main,"(12.9149378, 77.5904564)"
0256 Prince Edward & 16th,"(49.2567266, -123.0965455)"
0257 Prince Edward & 14th,"(49.2581393, -123.096343)"
0258 13th & St George,"(-34.003991, 22.4809282)"
0260 10th & Fraser,"(49.2615005, -123.0893354)"
0261 8th & Fraser,"(49.2634568, -123.0888362)"
0262 8th & Prince Edward,"(49.2635225, -123.0956253)"
0265 St Catherines & 10th,"(52.573353, 1.7187293)"
0266 St Catherines & 7th,"(52.573353, 1.7187293)"
0272 Pender & Victoria,"(49.2801793, -123.0660122)"
0273 Victoria & 4th,"(49.2666307, -123.0658618)"
0274 Victoria & 10th,"(49.2611652, -123.0660014)"
0278 15th & Victoria,"(49.2567901, -123.0656984)"
0280 Triumph & Victoria,"(49.2839768, -123.0652119)"
0281 Windsor & 14th,"(49.2580237, -123.0833488)"
0282 14th & Fraser,"(49.2579521, -123.0895274)"
0283 15th & Knight,"(49.2565028, -123.0754794)"
0285 Commercial & Pandora,"(49.2832115, -123.0703905)"
0287 Carolina & Great Northern Way,"(49.2674701, -123.0907444)"
0297 6th & Prince Edward,"(49.2652349, -123.0954559)"
0298 6th & Carolina,"(49.2652155, -123.0906761)"
0300 Bute & Barclay,"(49.2848699, -123.128767)"
0305 Georgia & Homer,"(49.2809374, -123.1153534)"
0308 Seymour & Cordova,"(-32.6376854, -62.6922562)"
0310 Jervis & Robson,"(49.2868529, -123.1289011)"
0311 13th & Cambie,"(49.2595423, -123.114742)"
"0313 Nelson & Denman, Vancouver","(49.2903562, -123.1401608)"
"0314 Rolston St, Vancouver","(49.2754249, -123.1277443)"
0315 1st & Fir,"(47.538178, -122.037603)"
0352 Commercial & 20th,"(49.252656, -123.067972)"
0354 Station & Terminal,"(49.272223, -123.097988)"
0400 Jericho Beach,"(36.859311, -76.143522)"
0401 Wallace & 4th,"(49.2685318, -123.190208)"
0403 Highbury & 8th,"(51.3526718, 1.4009661)"
0410 Alma & Point Grey,"(49.2648033, -123.1858536)"
0414 Dunbar & 6th,"(None, None)"
0415 Dunbar & Broadway,"(39.2953155, -76.594706)"
0431 Blenheim & 4th,"(-25.7707513, 28.2780207)"
0440 Point Grey & Blenheim,"(None, None)"
0443 Balaclava & 6th,"(None, None)"
0444 Balaclava & Broadway,"(49.2640934, -123.173552)"
0450 Point Grey & Bayswater,"(None, None)"
0452 8th & Macdonald,"(-36.8928385, 174.9299349)"
0460 Trafalgar & Cornwall,"(50.1346398, -5.5641389)"
0464 Trafalgar & Broadway,"(49.2639092, -123.164243)"
0470 Balsam & Cornwall,"(49.272569, -123.159366)"
0480 Arbutus & Nanton,"(49.2479931, -123.153038)"
0482 East Blvd & 37th,"(40.7518608, -73.870897)"
0484 Yew & Broadway,"(52.0369063, -1.852882)"
0505 28th & Willow,"(33.174729, -87.499412)"
0511 18th & Heather,"(None, None)"
0516 Heather & 29th,"(None, None)"
0524 King Edward & Cambie,"(49.2492072, -123.1161507)"
0526 29th & Cambie,"(49.2451129, -123.1162559)"
0531 18th & Cambie,"(49.2548234, -123.1148079)"
0532 22nd & Cambie,"(49.2516355, -123.1225685)"
0554 Ontario & 23rd,"(None, None)"
0557 30th & Ontario,"(49.2433945, -123.104914)"
0561 20th & Main,"(49.2527004, -123.101258)"
0563 22nd & Main,"(13.0872604, 77.581543)"
0565 27th & Main,"(12.9080657, 77.5843816)"
0611 Wall & Eton,"(None, None)"
0621 Lakewood & Oxford,"(33.591596, -85.91286)"
0631 Lakewood & Triumph,"(None, None)"
0642 Franklin & Nanaimo,"(None, None)"
0715 Trimble & 8th,"(51.6733353, 0.3797778)"
0716 Sasamat & 10th,"(None, None)"
0980 Workshop - Balancer Bike Check In,"(None, None)"
0981 Workshop - Service Complete,"(None, None)"
0982 Workshop - Bike Testing,"(None, None)"
0987 Quebec Yard - Rogers,"(None, None)"
0991 HQ Workshop,"(-6.6320177000000005, 31.1396084)"
0992 Workshop - Return to Smoove,"(None, None)"
0994 Workshop - Transmitter Testing,"(None, None)"
0995 Workshop - Transmitter On Deck,"(None, None)"
0997 Workshop - Demo Station,"(None, None)"
1000 Temporary Station,"(46.0992612, 19.6724699)"
1000 Vancouver PRIDE Valet Station,"(None, None)"
1002 PNE - Hastings & Windermere,"(49.2809692, -123.0358795)"
1499 Arbutus St,"(49.27590825, -123.15217069777356)"
2132 IK Barber Learning Centre,"(None, None)"
2143 War Memorial Gym,"(49.266796, -123.24763482487361)"
2405 Wesbrook Mall,"(49.2622565, -123.24329295568945)"
3000 Temporary Station - Celebration of Light,"(None, None)"
